Event ID  Meaning
00	The log was started.
01	The log was stopped.
02	The log was temporarily paused due to low disk space.
10	A new IP address was leased to a client.
11	A lease was renewed by a client.
12	A lease was released by a client.
13	An IP address was found to be in use on the network.
14	A lease request could not be satisfied because the scope's address pool was exhausted.
15	A lease was denied.
16	A lease was deleted.
17	A lease was expired and DNS records for an expired leases have not been deleted.
18	A lease was expired and DNS records were deleted.
20	A BOOTP address was leased to a client.
21	A dynamic BOOTP address was leased to a client.
22	A BOOTP request could not be satisfied because the scope's address pool for BOOTP was exhausted.
23	A BOOTP IP address was deleted after checking to see it was not in use.
24	IP address cleanup operation has began.
25	IP address cleanup statistics.
30	DNS update request to the named DNS server.
31	DNS update failed.
32	DNS update successful.
33	Packet dropped due to NAP policy.
50+	Codes above 50 are used for Rogue Server Detection information.

QResult: 0: NoQuarantine, 1:Quarantine, 2:Drop Packet, 3:Probation,6:No Quarantine Information ProbationTime:Year-Month-Day Hour:Minute:Second:MilliSecond.

ID,Date,Time,Description,IP Address,Host Name,MAC Address,User Name, TransactionID, QResult,Probationtime, CorrelationID.
11,04/29/18,15:48:13,Renew,192.168.16.168,ivory.iii.hogent.be,002401062E78,,3753599261,0,,,
24,04/29/18,15:58:04,Database Cleanup Begin,,,,,0,6,,,
25,04/29/18,15:58:04,0 leases expired and 0 leases deleted,,,,,0,6,,,
25,04/29/18,15:58:04,0 leases expired and 0 leases deleted,,,,,0,6,,,
11,04/29/18,16:06:55,Renew,192.168.134.9,Moretus.iii.hogent.be,001438EAE48E,,4241744498,0,,,
11,04/29/18,16:16:30,Renew,192.168.134.248,vop.iii.hogent.be,000C299A4900,,372458178,0,,,
11,04/29/18,16:34:03,Renew,192.168.16.166,gauss.iii.hogent.be,002401062E77,,3716231399,0,,,
24,04/29/18,16:58:05,Database Cleanup Begin,,,,,0,6,,,
25,04/29/18,16:58:05,0 leases expired and 0 leases deleted,,,,,0,6,,,
25,04/29/18,16:58:05,0 leases expired and 0 leases deleted,,,,,0,6,,,
11,04/29/18,16:59:54,Renew,192.168.134.159,DESKTOP-Q5NIM0G.iii.hogent.be,D4BED93A8D91,,1062447070,0,,,
11,04/29/18,17:49:04,Renew,192.168.16.37,TL-WR841N.iii.hogent.be,F8D11164520D,,148801358,0,,,
24,04/29/18,17:58:06,Database Cleanup Begin,,,,,0,6,,,
25,04/29/18,17:58:06,0 leases expired and 0 leases deleted,,,,,0,6,,,
25,04/29/18,17:58:06,0 leases expired and 0 leases deleted,,,,,0,6,,,
24,04/29/18,18:58:07,Database Cleanup Begin,,,,,0,6,,,
25,04/29/18,18:58:07,0 leases expired and 0 leases deleted,,,,,0,6,,,
25,04/29/18,18:58:07,0 leases expired and 0 leases deleted,,,,,0,6,,,
11,04/29/18,19:30:00,Renew,192.168.16.93,volta.iii.hogent.be,90E2BA3F4B45,,1681869501,0,,,
24,04/29/18,19:58:08,Database Cleanup Begin,,,,,0,6,,,
25,04/29/18,19:58:08,0 leases expired and 0 leases deleted,,,,,0,6,,,
25,04/29/18,19:58:08,0 leases expired and 0 leases deleted,,,,,0,6,,,
11,04/29/18,20:56:36,Renew,192.168.134.7,DiskStation.iii.hogent.be,001132095260,,59106997,0,,,
24,04/29/18,20:58:09,Database Cleanup Begin,,,,,0,6,,,
25,04/29/18,20:58:09,0 leases expired and 0 leases deleted,,,,,0,6,,,
25,04/29/18,20:58:09,0 leases expired and 0 leases deleted,,,,,0,6,,,
11,04/29/18,21:52:58,Renew,192.168.134.248,vop.iii.hogent.be,000C299A4900,,372458178,0,,,
24,04/29/18,21:58:10,Database Cleanup Begin,,,,,0,6,,,
25,04/29/18,21:58:10,0 leases expired and 0 leases deleted,,,,,0,6,,,
25,04/29/18,21:58:10,0 leases expired and 0 leases deleted,,,,,0,6,,,
11,04/29/18,22:05:27,Renew,192.168.134.9,Moretus.iii.hogent.be,001438EAE48E,,2625626994,0,,,
24,04/29/18,22:58:11,Database Cleanup Begin,,,,,0,6,,,
25,04/29/18,22:58:11,0 leases expired and 0 leases deleted,,,,,0,6,,,
25,04/29/18,22:58:11,0 leases expired and 0 leases deleted,,,,,0,6,,,
11,04/29/18,23:49:04,Renew,192.168.16.37,TL-WR841N.iii.hogent.be,F8D11164520D,,148801358,0,,,
24,04/29/18,23:58:12,Database Cleanup Begin,,,,,0,6,,,
25,04/29/18,23:58:12,0 leases expired and 0 leases deleted,,,,,0,6,,,
25,04/29/18,23:58:12,0 leases expired and 0 leases deleted,,,,,0,6,,,
24,05/02/18,00:00:58,Database Cleanup Begin,,,,,0,6,,,
25,05/02/18,00:00:58,0 leases expired and 0 leases deleted,,,,,0,6,,,
25,05/02/18,00:00:58,0 leases expired and 0 leases deleted,,,,,0,6,,,
24,05/02/18,00:58:58,Database Cleanup Begin,,,,,0,6,,,
25,05/02/18,00:58:58,0 leases expired and 0 leases deleted,,,,,0,6,,,
25,05/02/18,00:58:58,0 leases expired and 0 leases deleted,,,,,0,6,,,
11,05/02/18,01:21:09,Renew,192.168.134.7,DiskStation.iii.hogent.be,001132095260,,59106997,0,,,
11,05/02/18,01:30:00,Renew,192.168.16.93,volta.iii.hogent.be,90E2BA3F4B45,,3781808998,0,,,
